Sensor,Date_Time,Date,Time,Count
Flinders La-Swanston St (West) Temporary,2020-07-07T17:00:00Z,2020-07-08,3,NA
RMIT Building 14,2020-07-07T17:00:00Z,2020-07-08,3,19
380 Elizabeth St,2020-07-07T17:00:00Z,2020-07-08,3,53
La Trobe St (North),2020-07-07T17:00:00Z,2020-07-08,3,NA
231 Bourke St,2020-07-07T17:00:00Z,2020-07-08,3,14
Royal Pde - Grattan St,2020-07-07T17:00:00Z,2020-07-08,3,6
Bourke Street Mall (North),2020-07-07T18:00:00Z,2020-07-08,4,2
Bourke Street Mall (South),2020-07-07T18:00:00Z,2020-07-08,4,2
Melbourne Central,2020-07-07T18:00:00Z,2020-07-08,4,15
Town Hall (West),2020-07-07T18:00:00Z,2020-07-08,4,8
Princes Bridge,2020-07-07T18:00:00Z,2020-07-08,4,51
Flinders Street Station Underpass,2020-07-07T18:00:00Z,2020-07-08,4,8
Birrarung Marr,2020-07-07T18:00:00Z,2020-07-08,4,11
Webb Bridge,2020-07-07T18:00:00Z,2020-07-08,4,2
Southern Cross Station,2020-07-07T18:00:00Z,2020-07-08,4,5
Victoria Point,2020-07-07T18:00:00Z,2020-07-08,4,3
Waterfront City,2020-07-07T18:00:00Z,2020-07-08,4,2
New Quay,2020-07-07T18:00:00Z,2020-07-08,4,1
Flagstaff Station,2020-07-07T18:00:00Z,2020-07-08,4,NA
Sandridge Bridge,2020-07-07T18:00:00Z,2020-07-08,4,1
State Library,2020-07-07T18:00:00Z,2020-07-08,4,NA
Collins St (North),2020-07-07T18:00:00Z,2020-07-08,4,2
Collins Place (South),2020-07-07T18:00:00Z,2020-07-08,4,7
Collins Place (North),2020-07-07T18:00:00Z,2020-07-08,4,1
Chinatown-Swanston St (North),2020-07-07T18:00:00Z,2020-07-08,4,34
Chinatown-Lt Bourke St (South),2020-07-07T18:00:00Z,2020-07-08,4,3
Bourke St-Russell St (West),2020-07-07T18:00:00Z,2020-07-08,4,NA
Flinders St-Elizabeth St (East),2020-07-07T18:00:00Z,2020-07-08,4,42
Spencer St-Collins St (South),2020-07-07T18:00:00Z,2020-07-08,4,15
Spencer St-Collins St (North),2020-07-07T18:00:00Z,2020-07-08,4,16
Melbourne Convention Exhibition Centre,2020-07-07T18:00:00Z,2020-07-08,4,19
QV Market-Elizabeth St (West),2020-07-07T18:00:00Z,2020-07-08,4,60
QV Market-Peel St,2020-07-07T18:00:00Z,2020-07-08,4,NA
The Arts Centre,2020-07-07T18:00:00Z,2020-07-08,4,58
St Kilda Rd-Alexandra Gardens,2020-07-07T18:00:00Z,2020-07-08,4,1
Lonsdale St (South),2020-07-07T18:00:00Z,2020-07-08,4,15
Lygon St (West),2020-07-07T18:00:00Z,2020-07-08,4,14
City Square,2020-07-07T18:00:00Z,2020-07-08,4,NA
Flinders St-Spring St (West),2020-07-07T18:00:00Z,2020-07-08,4,NA
Flinders St-Spark La,2020-07-07T18:00:00Z,2020-07-08,4,2
Southbank,2020-07-07T18:00:00Z,2020-07-08,4,7
Queen St (West),2020-07-07T18:00:00Z,2020-07-08,4,10
Lygon St (East),2020-07-07T18:00:00Z,2020-07-08,4,8
Alfred Place,2020-07-07T18:00:00Z,2020-07-08,4,1
Lonsdale St-Spring St (West),2020-07-07T18:00:00Z,2020-07-08,4,4
Grattan St-Swanston St (West),2020-07-07T18:00:00Z,2020-07-08,4,3
Monash Rd-Swanston St (West),2020-07-07T18:00:00Z,2020-07-08,4,1
Tin Alley-Swanston St (West),2020-07-07T18:00:00Z,2020-07-08,4,1
Little Collins St-Swanston St (East),2020-07-07T18:00:00Z,2020-07-08,4,3
Flinders La-Swanston St (West),2020-07-07T18:00:00Z,2020-07-08,4,37
Pelham St (South),2020-07-07T18:00:00Z,2020-07-08,4,3
Melbourne Central-Elizabeth St (East),2020-07-07T18:00:00Z,2020-07-08,4,17
QVM-Queen St (East),2020-07-07T18:00:00Z,2020-07-08,4,2
QVM-Therry St (South),2020-07-07T18:00:00Z,2020-07-08,4,43
Faraday St-Lygon St (West),2020-07-07T18:00:00Z,2020-07-08,4,5
QVM-Franklin St (North),2020-07-07T18:00:00Z,2020-07-08,4,4
Elizabeth St-Lonsdale St (South),2020-07-07T18:00:00Z,2020-07-08,4,3
Lincoln-Swanston (W),2020-07-07T18:00:00Z,2020-07-08,4,2
Elizabeth St-La Trobe St (East),2020-07-07T18:00:00Z,2020-07-08,4,NA
Lonsdale St - Elizabeth St (North),2020-07-07T18:00:00Z,2020-07-08,4,2
Bourke St Bridge,2020-07-07T18:00:00Z,2020-07-08,4,2
Bourke St - Spencer St (North),2020-07-07T18:00:00Z,2020-07-08,4,13
RMIT Bld 80 - 445 Swanston Street,2020-07-07T18:00:00Z,2020-07-08,4,NA
Flinders La-Swanston St (West) Temporary,2020-07-07T18:00:00Z,2020-07-08,4,NA
RMIT Building 14,2020-07-07T18:00:00Z,2020-07-08,4,11
380 Elizabeth St,2020-07-07T18:00:00Z,2020-07-08,4,37
La Trobe St (North),2020-07-07T18:00:00Z,2020-07-08,4,NA
231 Bourke St,2020-07-07T18:00:00Z,2020-07-08,4,4
